iter	RMSE
0	2.174447667
1	2.159798645
2	2.142371806
3	2.126505777
4	2.111799093
5	2.097892647
6	2.083499468
7	2.071219813
8	2.058837535
9	2.046579243
10	2.03432462
11	2.020971974
12	2.009108265
13	1.997420202
14	1.98434317
15	1.97350906
16	1.961040447
17	1.950625778
18	1.93998558
19	1.928657499
20	1.91490864
21	1.901918573
22	1.890907848
23	1.880045051
24	1.869815621
25	1.857690945
26	1.846602975
27	1.833166628
28	1.82054469
29	1.807046298
30	1.79743731
31	1.786644741
32	1.776811753
33	1.767574671
34	1.758960797
35	1.748061322
36	1.735569856
37	1.725574903
38	1.713479926
39	1.702901339
40	1.693720817
41	1.683530828
42	1.673296438
43	1.663377795
44	1.655585102
45	1.646197945
46	1.636554393
47	1.626588017
48	1.617544903
49	1.607308674
50	1.599561009
51	1.590932388
52	1.581917976
53	1.572151925
54	1.564982264
55	1.555899088
56	1.548093695
57	1.538217485
58	1.527843806
59	1.51888612
60	1.509388269
61	1.50254574
62	1.493884763
63	1.485708059
64	1.477427606
65	1.468235946
66	1.461104237
67	1.452036378
68	1.446260718
69	1.437410855
70	1.430229335
71	1.420854976
72	1.413599761
73	1.403314189
74	1.396253101
75	1.38928415
76	1.381330491
77	1.372681623
78	1.365915711
79	1.359102772
80	1.351886703
81	1.34432779
82	1.335555935
83	1.328121966
84	1.322273257
85	1.314080213
86	1.309457482
87	1.303490407
88	1.296022218
89	1.289049441
90	1.28265503
91	1.276870392
92	1.269979323
93	1.262668809
94	1.256281053
95	1.249928178
96	1.243367138
97	1.237947957
98	1.231592049
99	1.227188665
100	1.220875022
101	1.214773462
102	1.207689503
103	1.202023935
104	1.196934861
105	1.190697152
106	1.184877815
107	1.179273986
108	1.173437567
109	1.168049387
110	1.163351192
111	1.15885621
112	1.153215676
113	1.149286027
114	1.143487905
115	1.138267639
116	1.132035348
117	1.126909003
118	1.122196763
119	1.116265105
120	1.110764508
121	1.106046556
122	1.101508253
123	1.096509832
124	1.0917614
125	1.087344102
126	1.081582714
127	1.076608272
128	1.07210238
129	1.067105203
130	1.062680007
131	1.058522503
132	1.054468872
133	1.050575291
134	1.045827047
135	1.041400891
136	1.036265035
137	1.030906956
138	1.026554377
139	1.021514437
140	1.016752055
141	1.011508141
142	1.007201112
143	1.002244767
144	0.9980727248
145	0.9933204524
146	0.9902508868
147	0.986536262
148	0.9818115516
149	0.9784194884
150	0.9739561653
151	0.9705871745
152	0.9673482771
153	0.9632292086
154	0.9609192949
155	0.9579382832
156	0.9542990683
157	0.9492145754
158	0.9447117002
159	0.9405559699
