iter	RMSE
0	2.156732498
1	2.123504755
2	2.089491621
3	2.056918016
4	2.024069734
5	1.993765304
6	1.961184712
7	1.925668299
8	1.897045981
9	1.870187866
10	1.842510115
11	1.815934874
12	1.793421814
13	1.765337398
14	1.740274212
15	1.715298139
16	1.693765383
17	1.669856486
18	1.646072171
19	1.6221142
20	1.595607352
21	1.575976563
22	1.556533607
23	1.539605368
24	1.520342244
25	1.499353589
26	1.479386402
27	1.460821806
28	1.44351346
29	1.424130624
30	1.403255698
31	1.387174681
32	1.370253624
33	1.355814245
34	1.341258411
35	1.321814747
36	1.309500772
37	1.2943694
38	1.275814805
39	1.261832317
40	1.245243885
41	1.229846483
42	1.216363089
43	1.196480332
44	1.182553036
45	1.166450157
46	1.155281145
47	1.148202223
48	1.135592802
49	1.123211773
50	1.111187322
51	1.095828883
52	1.081229166
53	1.070985911
54	1.058087754
55	1.042918472
56	1.03236145
57	1.015824535
58	1.00505496
59	0.99264799
60	0.9863168121
61	0.975417096
62	0.9653157063
63	0.9555225471
64	0.9461886492
65	0.9349974788
66	0.9265732123
67	0.9192493219
68	0.9143922799
69	0.9034283056
70	0.8959005216
71	0.8910829216
72	0.8824540748
73	0.8728365025
74	0.8662413622
75	0.8580648872
76	0.8521619247
77	0.8471542801
78	0.8425149612
79	0.8355115803
80	0.8262027849
81	0.82140475
82	0.8144838438
83	0.8094418776
84	0.804618627
85	0.7998837102
86	0.7937859242
87	0.7868994739
88	0.7797806128
89	0.7747089028
90	0.7680210927
91	0.7633643146
92	0.7573816684
93	0.7551215886
94	0.7493799044
95	0.7426477556
96	0.7387997092
97	0.7346097431
98	0.7282122383
99	0.7239231033
100	0.7182534012
101	0.7109967963
102	0.706604222
103	0.7005176428
104	0.6934646893
105	0.6871531526
106	0.6813552557
107	0.677081926
108	0.6735002936
109	0.6690598023
110	0.6637689519
111	0.6586432715
112	0.6536880674
113	0.6479561251
114	0.6438118571
115	0.6377308226
116	0.6340168048
117	0.6298572242
118	0.6242410326
119	0.6187625781
120	0.6157115358
121	0.6120544371
122	0.609489754
123	0.6048523546
124	0.6010889069
125	0.5975609816
126	0.5928975902
127	0.5900069123
128	0.5864184293
129	0.5828769049
130	0.5773952601
131	0.5749691339
132	0.5692462763
133	0.5657923847
134	0.5620304861
135	0.5564220107
136	0.5523438754
137	0.5486621065
138	0.5451165395
139	0.5419312452
140	0.5378203534
141	0.5345537133
142	0.5327646016
143	0.5280051411
144	0.5250797557
145	0.5235227514
146	0.5176804578
147	0.5145534659
148	0.5076250317
149	0.5042333624
150	0.498742413
151	0.4960744432
152	0.4938588005
153	0.4912121134
154	0.4863683097
155	0.4823607721
156	0.48059991
157	0.4774074378
158	0.4717405664
159	0.468513461
160	0.4648155591
161	0.4600592157
162	0.4583495416
163	0.4535236267
164	0.4518984985
165	0.4471088706
166	0.4430499621
167	0.4389848385
168	0.4343202992
169	0.4319003742
170	0.4278821937
171	0.4238213097
