iter	Passed	Remaining
0	140	210746
1	242	181405
2	338	169012
3	441	165302
4	540	161510
5	638	159014
6	740	157985
7	839	156509
8	937	155383
9	1041	155122
10	1141	154477
11	1238	153530
12	1341	153423
13	1438	152668
14	1533	151806
15	1635	151733
16	1737	151559
17	1836	151209
18	1939	151203
19	2037	150747
20	2134	150338
21	2235	150216
22	2337	150110
23	2436	149818
24	2539	149802
25	2635	149433
26	2733	149151
27	2837	149173
28	2936	148937
29	3035	148749
30	3137	148699
31	3236	148455
32	3347	148823
33	3450	148772
34	3549	148586
35	3652	148524
36	3748	148221
37	3851	148183
38	3950	147989
39	4047	147741
40	4152	147752
41	4250	147560
42	4348	147354
43	4454	147415
44	4551	147163
45	4649	146956
46	4752	146925
47	4850	146733
48	4949	146573
49	5051	146503
50	5149	146305
51	5247	146133
52	5348	146035
53	5447	145882
54	5545	145682
55	5656	145865
56	5755	145717
57	5854	145563
58	5962	145616
59	6061	145472
60	6161	145344
61	6264	145300
62	6362	145114
63	6463	145020
64	6569	145033
65	6667	144865
66	6763	144651
67	6867	144619
68	6963	144417
69	7061	144264
70	7168	144268
71	7264	144082
72	7363	143947
73	7467	143900
74	7563	143714
75	7662	143579
76	7765	143512
77	7864	143370
78	7962	143219
79	8066	143176
80	8163	143004
81	8260	142838
82	8362	142766
83	8459	142600
84	8557	142457
85	8664	142454
86	8763	142326
87	8859	142147
88	8963	142112
89	9062	141973
90	9159	141818
91	9215	141033
92	9311	140879
93	9407	140711
94	9509	140641
95	9606	140492
96	9706	140389
97	9812	140379
98	9910	140255
99	10009	140127
100	10113	140088
101	10212	139974
102	10310	139841
103	10412	139767
104	10510	139639
105	10608	139508
106	10711	139450
107	10812	139362
108	10911	139242
109	11012	139163
110	11109	139019
111	11205	138869
112	11311	138839
113	11408	138708
114	11506	138575
115	11608	138498
116	11705	138368
117	11804	138255
118	11908	138193
119	12006	138072
120	12103	137943
121	12207	137881
122	12306	137777
123	12403	137634
124	12505	137562
125	12602	137429
126	12701	137316
127	12804	137250
128	12905	137156
129	13003	137036
130	13104	136948
131	13200	136806
132	13303	136734
133	13400	136605
134	13496	136467
135	13599	136397
136	13697	136273
137	13798	136180
138	13907	136174
139	14008	136080
140	14109	135996
141	14211	135911
142	14309	135794
143	14414	135737
144	14512	135619
145	14610	135499
146	14713	135423
147	14809	135289
148	14911	135202
149	15016	135145
150	15113	135018
151	15210	134897
152	15315	134835
153	15415	134737
154	15516	134640
155	15624	134607
156	15724	134511
157	15821	134385
158	15926	134324
159	16026	134224
160	16124	134106
161	16226	134022
162	16323	133892
163	16421	133775
164	16523	133691
165	16621	133571
166	16727	133517
167	16829	133435
168	16930	133338
169	17035	133275
170	17133	133161
171	17236	133085
172	17333	132959
173	17436	132875
174	17532	132749
175	17631	132639
176	17734	132555
177	17831	132437
178	17934	132357
179	18038	132279
180	18137	132170
181	18237	132073
182	18335	131958
183	18440	131888
184	18540	131787
185	18658	131816
186	18765	131761
187	18868	131676
188	18976	131632
189	19085	131587
190	19196	131561
191	19302	131501
192	19408	131436
193	19507	131323
194	19612	131254
195	19712	131149
196	19817	131074
197	19916	130967
198	20028	130939
199	20131	130857
200	20240	130807
201	20342	130716
202	20447	130643
203	20550	130553
204	20654	130475
205	20760	130407
206	20877	130410
207	20978	130311
208	21085	130245
209	21186	130147
210	21296	130100
211	21397	130001
212	21498	129899
213	21602	129817
214	21705	129728
215	21813	129667
216	21911	129550
217	22018	129485
218	22118	129376
219	22222	129294
220	22340	129291
221	22472	129367
222	22580	129304
223	22682	129208
224	22780	129088
225	22904	129116
226	23010	129040
227	23115	128960
228	23226	128910
229	23327	128808
230	23432	128726
231	23532	128619
232	23639	128544
233	23740	128442
234	23844	128354
235	23942	128232
236	24046	128145
237	24162	128124
238	24264	128020
239	24361	127895
240	24464	127804
241	24563	127687
242	24664	127586
243	24766	127487
244	24868	127389
245	24973	127303
246	25078	127222
247	25181	127126
248	25288	127050
249	25394	126971
250	25499	126887
251	25597	126768
252	25700	126675
253	25799	126557
254	25900	126454
255	25999	126341
256	26098	126226
257	26205	126149
258	26301	126024
259	26402	125917
260	26505	125824
261	26602	125701
262	26700	125585
263	26806	125503
264	26905	125388
265	27003	125269
266	27105	125170
267	27204	125061
268	27305	124955
269	27406	124850
270	27555	124966
271	27657	124865
272	27759	124764
273	27864	124677
274	27961	124555
275	28064	124460
276	28173	124391
277	28284	124328
278	28393	124261
279	28500	124180
280	28605	124093
281	28705	123984
282	28809	123891
283	28905	123764
284	29011	123679
285	29110	123565
286	29206	123442
287	29314	123363
288	29410	123240
289	29507	123117
290	29617	123050
291	29719	122949
292	29819	122840
293	29921	122740
294	30019	122623
295	30117	122505
296	30219	122402
297	30319	122295
298	30420	122191
299	30522	122088
300	30624	121987
301	30727	121893
302	30825	121777
303	30931	121690
304	31027	121566
305	31133	121480
306	31232	121369
307	31336	121275
308	31441	121187
309	31543	121088
310	31650	121003
311	31770	120972
312	31875	120884
313	31978	120786
314	32088	120714
315	32186	120599
316	32289	120498
317	32392	120402
318	32500	120323
319	32606	120237
320	32714	120157
321	32812	120042
322	32919	119956
323	33019	119849
324	33120	119744
325	33222	119641
326	33325	119545
327	33425	119434
328	33525	119326
329	33630	119236
330	33731	119130
331	33835	119035
332	33940	118943
333	34041	118838
334	34150	118762
335	34250	118652
336	34355	118563
337	34458	118463
338	34560	118362
339	34659	118251
340	34774	118191
341	34881	118107
342	34987	118018
343	35088	117912
344	35195	117829
345	35296	117723
346	35400	117627
347	35499	117515
348	35601	117414
349	35723	117375
350	35825	117275
351	35926	117169
352	36034	117085
353	36135	116981
354	36237	116879
355	36340	116777
356	36441	116672
357	36541	116565
358	36646	116471
359	36746	116363
360	36858	116294
361	36983	116263
362	37091	116177
363	37192	116074
364	37294	115969
365	37398	115874
366	37498	115766
367	37604	115675
368	37703	115561
369	37806	115464
370	37908	115360
371	38014	115269
372	38113	115156
373	38216	115057
374	38327	114981
375	38425	114868
376	38524	114756
377	38628	114658
378	38726	114543
379	38826	114436
380	38932	114344
381	39031	114233
382	39133	114130
383	39237	114035
384	39337	113926
385	39434	113809
386	39536	113705
387	39637	113599
388	39734	113483
389	39839	113390
390	39937	113274
391	40036	113165
392	40146	113083
393	40243	112967
394	40343	112859
395	40451	112773
396	40552	112668
397	40652	112559
398	40757	112467
399	40856	112356
400	40974	112296
401	41081	112206
402	41183	112104
403	41287	112007
404	41383	111888
405	41486	111789
406	41590	111690
407	41701	111611
408	41806	111518
409	41913	111428
410	42013	111321
411	42121	111233
412	42225	111135
413	42330	111041
414	42434	110942
415	42539	110847
416	42639	110739
417	42745	110647
418	42843	110534
419	42948	110439
420	43050	110335
421	43152	110233
422	43251	110123
423	43358	110031
424	43469	109952
425	43576	109861
426	43680	109765
427	43787	109673
428	43888	109567
429	43994	109474
430	44099	109380
431	44204	109282
432	44305	109178
433	44411	109085
434	44513	108981
435	44628	108909
436	44732	108812
437	44839	108719
438	44939	108611
439	45041	108508
440	45139	108395
441	45241	108292
442	45339	108180
443	45437	108068
444	45544	107976
445	45642	107862
446	45741	107752
447	45844	107653
448	45942	107540
449	46043	107435
450	46160	107366
451	46265	107269
452	46365	107163
453	46483	107096
454	46587	106998
455	46691	106899
456	46793	106795
457	46900	106704
458	47003	106602
459	47115	106521
460	47216	106415
461	47320	106316
462	47422	106214
463	47526	106114
464	47626	106008
465	47732	105911
466	47833	105806
467	47940	105715
468	48039	105605
469	48142	105504
470	48239	105389
471	48344	105293
472	48443	105182
473	48542	105074
474	48648	104978
475	48746	104866
476	48846	104757
477	48960	104681
478	49077	104609
479	49185	104519
480	49285	104411
481	49384	104300
482	49486	104198
483	49585	104087
484	49681	103973
485	49797	103898
486	49908	103814
487	50010	103710
488	50112	103607
489	50219	103512
490	50322	103412
491	50422	103303
492	50525	103204
493	50626	103097
494	50731	102999
495	50832	102894
496	50944	102810
497	51042	102699
498	51144	102596
499	51243	102486
500	51349	102391
501	51447	102280
502	51554	102186
503	51655	102081
504	51758	101979
505	51861	101878
